Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
The Far Pavilions,M.M. Kaye,4.2,44010,368.0
Vurt,Jeff Noon,4.04,9740,363.0
The Glass Bead Game,Hermann Hesse,4.11,38710,356.0
"Devil in a Blue Dress (Easy Rawlins, #1)",Walter Mosley,3.87,27033,352.0
Père Goriot,Honoré de Balzac,3.85,59505,349.0
A High Wind in Jamaica,Richard Hughes,3.77,9902,348.0
Journey to the End of the Night,Louis-Ferdinand Céline,4.19,42112,346.0
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.06,333572,343.0
"The Prisoner of Zenda (The Ruritania Trilogy, #2)",Anthony Hope,3.84,21338,342.0
Cakes and Ale,W. Somerset Maugham,3.78,7302,339.0
Everything Is Illuminated,Jonathan Safran Foer (Goodreads Author),3.89,179626,336.0
The Fall,Albert Camus,4.04,106704,335.0
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,3.83,40961,334.0
The Night Watch,Sarah Waters,3.7,31300,331.0
Bonjour tristesse,Françoise Sagan,3.71,51297,323.0
The Day of the Jackal,Frederick Forsyth,4.27,134294,317.0
Babbitt,Sinclair Lewis,3.69,23609,308.0
Unless,Carol Shields,3.63,16380,307.0
The Sirens of Titan,Kurt Vonnegut Jr.,4.15,141589,307.0
"Consider Phlebas (Culture, #1)",Iain M. Banks,3.85,91273,306.0
"A Dance to the Music of Time, Complete Set: 1st Movement, 2nd Movement, 3rd Movement, 4th Movement",Anthony Powell,4.41,150,305.0
A Town Like Alice,Nevil Shute,4.15,58031,305.0
Jacques the Fatalist,Denis Diderot,3.8,8804,300.0
The Golden Notebook,Doris Lessing,3.77,23028,297.0
McTeague: A Story of San Francisco,Frank Norris,3.68,6441,295.0
The Crying of Lot 49,Thomas Pynchon,3.69,86863,293.0
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.94,90889,292.0
How Green Was My Valley,Richard Llewellyn,4.2,17434,291.0
Steppenwolf,Hermann Hesse,4.13,185683,290.0
"The Ipcress File (Secret File, #1)",Len Deighton,3.93,16899,289.0
Lake Wobegon Days,Garrison Keillor,3.64,8027,288.0
"A Time to Kill (Jake Brigance, #1)",John Grisham (Goodreads Author),4.11,801386,287.0
Excellent Women,Barbara Pym,3.92,17602,287.0
Oranges Are Not the Only Fruit,Jeanette Winterson,3.73,79788,283.0
The Call of the Wild,Jack London,3.9,430632,280.0
The Passion of New Eve,Angela Carter,3.66,4686,278.0
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,4.07,57797,278.0
Riddley Walker,Russell Hoban,4.02,8145,274.0
The Crab with the Golden Claws (Tintin #9),Hergé,4.09,14367,273.0
The Piano Teacher,Elfriede Jelinek,3.58,12962,271.0
They Were Counted,Miklós Bánffy,4.19,1335,268.0
The Return of the Soldier,Rebecca West,3.69,8227,264.0
"The Siege of Krishnapur (Empire Trilogy, #2)",J.G. Farrell,3.92,7762,261.0
"The Laughing Policeman (Martin Beck, #4)",Maj Sjöwall,3.99,10003,260.0
"You Only Live Twice (James Bond, #12)",Ian Fleming,3.75,14765,260.0
Doctor Zhivago,Boris Pasternak,4.01,96804,259.0
